# Matches con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_TAM

[60%] gast-89      DISPENSER TOALLAS INTERCALADAS                → dispenser-para-toallas-de-mano-intercaladas
[50%] bol-205      BOLSAS POLIPROPILENO 30X40 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-206      BOLSAS POLIPROPILENO 35X45 ADHESIVO X100U     → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-207      BOLSAS POLIPROPILENO 35X45 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-208      BOLSAS POLIPROPILENO 40X50 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-209      BOLSAS POLIPROPILENO 50X60 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-210      BOLSAS POLIPROPILENO 5X5 ADHESIVO X100U       → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-211      BOLSAS POLIPROPILENO 5X8 ADHESIVO X100U       → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-212      BOLSAS POLIPROPILENO 60X75 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-213      BOLSAS POLIPROPILENO 6X14 ADHESIVO X100U      → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-214      BOLSAS POLIPROPILENO 10X30 X100U              → bolsas-cristal-polipropileno-pp-20x30-x-100-unidades
[50%] bol-250      FUNDAS 50X70 X10U                             → fundas-cubrecuaderno-16x21
[50%] bol-251      FUNDAS 60X120 X10U                            → fundas-cubrecuaderno-16x21
[50%] bol-252      FUNDAS 60X90 X10U                             → fundas-cubrecuaderno-16x21
